"","Commune","Oui à l'interdiction de se dissimuler le visage dans l'espace public (2021)","Oui à l'interdiction de construire des minarets (2009)","Ecart (en points de pourcentage)"
"1","Champoz (BE)",5,93,-88
"2","Rohrbachgraben (BE)",0.9,84.5714285714286,-83.6714285714286
"3","Hergiswil bei Willisau (LU)",2,80.939226519337,-78.939226519337
"4","Rebévelier (BE)",9.6,86.9565217391304,-77.3565217391304
"5","Zetzwil (AG)",5.5,81.8499127399651,-76.3499127399651
"6","Zell (LU)",0.2,76.4784946236559,-76.2784946236559
"7","Corcelles (BE)",3.7,78.5046728971963,-74.8046728971963
"8","Liedertswil (BL)",8.2,82.7586206896552,-74.5586206896552
"9","Gontenschwil (AG)",8.1,82.6456310679612,-74.5456310679612
"10","Tobel-Tägerschen (TG)",5.5,80.0391389432485,-74.5391389432485
"11","Rüti bei Lyssach (BE)",7.9,80,-72.1
"12","Häggenschwil (SG)",3.5,75.5555555555556,-72.0555555555556
"13","Arboldswil (BL)",2,73.5294117647059,-71.5294117647059
"14","Büron (LU)",1.8,73.1988472622478,-71.3988472622478
"15","San Vittore (GR)",3.6,73.9463601532567,-70.3463601532567
"16","Diessbach bei Büren (BE)",9.2,79.1208791208791,-69.9208791208791
"17","Schwende (AI)",5.3,74.8180494905386,-69.5180494905386
"18","Wachseldorn (BE)",9.9,79.4117647058823,-69.5117647058823
"19","Heimenhausen (BE)",8.3,77.1498771498772,-68.8498771498772
"20","Hohenrain (LU)",2,70.4569606801275,-68.4569606801275
"21","Schübelbach (SZ)",7.5,75.6427015250545,-68.1427015250545
"22","Ormey (FR)",1.8,69.8795180722892,-68.0795180722892
"23","Gurbrü (BE)",5.6,73.469387755102,-67.8693877551021
"24","Lyssach (BE)",3.9,71.7687074829932,-67.8687074829932
"25","Ballwil (LU)",2.2,69.9106256206554,-67.7106256206554
"26","Büttikon (AG)",8,75.7097791798107,-67.7097791798107
"27","Emmetten (NW)",6.4,74.0976645435244,-67.6976645435244
"28","Walterswil (BE)",11.1,78.7735849056604,-67.6735849056604
"29","Gossau (SG)",0.7,68.251968503937,-67.551968503937
"30","Zihlschlacht-Sitterdorf (TG)",13.8,81.1688311688312,-67.3688311688312
"31","Münchwilen (AG)",4.4,71.6783216783217,-67.2783216783217
"32","Safnern (BE)",7.8,74.5541022592152,-66.7541022592152
"33","Wäldi (TG)",9,75.7105943152455,-66.7105943152455
"34","Bürglen (TG)",10.4,76.9076305220884,-66.5076305220883
"35","Isone (TI)",18.6,85.1063829787234,-66.5063829787234
"36","Scheuren (BE)",16,82.4120603015075,-66.4120603015075
"37","Hasle bei Burgdorf (BE)",6.8,72.7878211227403,-65.9878211227403
"38","Rüthi (SG)",15.3,81.2591508052709,-65.9591508052709
"39","Saint-Nicolas (VS)",11,76.5957446808511,-65.5957446808511
"40","Zullwil (SO)",5,70.0819672131148,-65.0819672131148
"41","Bettenhausen (BE)",12.7,77.7777777777778,-65.0777777777778
"42","Dietwil (AG)",10.7,75.544794188862,-64.844794188862
"43","Bäriswil (BE)",1,65.7957244655582,-64.7957244655582
"44","Rothenthurm (SZ)",18.2,82.9234972677596,-64.7234972677596
"45","Wangen (SZ)",7.8,72.4528301886792,-64.6528301886792
"46","Unterkulm (AG)",11.4,76.0280842527583,-64.6280842527583
"47","Weiach (ZH)",7.5,71.9160104986877,-64.4160104986877
"48","Gachnang (TG)",1.5,65.8597662771286,-64.3597662771286
"49","Wyssachen (BE)",19.1,83.4381551362683,-64.3381551362683
"50","Cuarny (VD)",18.1,82.2784810126582,-64.1784810126582
